gender,height_cm,weight_kg,skin_tone,event_type,dress_code,time_of_day,style_preference,outfit_suggestion,outfit_image
Male,175,70,fair,meeting,formal,day,Western,Navy two-piece suit with white shirt,https://imagescdn.peterengland.com/img/app/product/6/635587-18989962.jpg
Male,180,82,medium,meeting,formal,evening,Western,Charcoal suit with silk tie,https://cdn.shopify.com/s/files/1/0598/1070/9672/files/vjvnow-3_f17dd13f-354a-4b2f-a916-f6f4e8575359_480x480.png?v=1718349170
Male,170,68,dark,presentation,semi-formal,day,Western,Light blue shirt with tailored chinos,https://i.pinimg.com/736x/d2/a8/17/d2a81746d69c0fa7e16dcc2f5d2dfb00.jpg
Male,178,78,medium,casual,casual,day,Western,Denim jacket with white tee & chinos,https://i.pinimg.com/736x/5b/65/f4/5b65f46558327919ecac9bc3affb22f6.jpg
Male,182,88,dark,party,semi-casual,night,Western,Black leather jacket with dark jeans,https://i.pinimg.com/1200x/80/7f/47/807f4772476c93605627b9bd51bfde4d.jpg
Male,172,68,fair,birthday,casual,evening,Western,Patterned shirt with slim jeans,https://i.pinimg.com/1200x/92/48/c7/9248c7efd4c3a0e0cb354b2eef34671a.jpg
Male,175,75,fair,wedding,formal,evening,Indian,Beige sherwani with heavy embroidery,https://i.pinimg.com/736x/75/03/63/750363d734d476db17db23abbd05feb6.jpg
Male,180,82,medium,festival,semi-formal,day,Indian,Embroidered kurta with Nehru jacket,https://i.pinimg.com/736x/e8/31/eb/e831eb7c1450da307370d0c99a0d4485.jpg
Male,168,70,dark,date,semi-casual,evening,Indian,Stylish bandhgala with churidar,https://i.pinimg.com/736x/bf/4c/fa/bf4cfaad8450f973f8cbafbc28efaf49.jpg
Male,170,65,medium,casual,casual,day,Japanese,Minimal layered looks: oversized jacket & tapered trousers,https://i.pinimg.com/736x/aa/62/5d/aa625d9638eecffc482c92cd183a4aac.jpg
Male,176,80,fair,party,semi-casual,night,Global,Street-style bomber with sneakers,https://i.pinimg.com/736x/c6/8b/cf/c68bcfd2c818cffc046e4ec89e2126b2.jpg
Female,165,58,fair,meeting,formal,day,Western,Grey blazer with pencil skirt & pastel blouse,https://i.pinimg.com/736x/bd/5e/f4/bd5ef4365fd16e271c2f5bbb47bdd393.jpg
Female,170,62,medium,presentation,semi-formal,day,Western,White blouse with navy midi skirt,https://i.pinimg.com/736x/d0/3e/b6/d03eb61845a59dcb625d313545c15a9e.jpg
Female,160,54,dark,presentation,semi-formal,evening,Western,Bright coral sheath dress with scarf,https://i.pinimg.com/736x/5e/6f/7d/5e6f7dbdca290718d1638df3f10aefdc.jpg
Female,160,55,fair,party,semi-formal,night,Western,Red cocktail dress with heels,https://i.pinimg.com/736x/c7/31/9e/c7319e65059dc8215bb8edfc12f52b19.jpg
Female,168,60,medium,date,semi-casual,evening,Western,Floral wrap dress with ankle boots,https://i.pinimg.com/1200x/1a/2b/fe/1a2bfe5febce30ce7a14790198c2c27b.jpg
Female,158,53,dark,birthday,casual,day,Western,Jumpsuit with statement necklace,https://i.pinimg.com/736x/47/8e/0e/478e0e90151a459456e97ba7f4d440d3.jpg
Female,160,58,fair,wedding,formal,evening,Indian,Red lehenga with gold embroidery & dupatta,https://i.pinimg.com/736x/6f/71/a4/6f71a4771d8b28e1b13e539f5ec2b6c7.jpg
Female,168,60,medium,festival,semi-formal,day,Indian,Pastel saree with light jewellery,https://i.pinimg.com/736x/82/7f/6d/827f6d1a1e243ce29c8f694809ea374b.jpg
Female,158,52,dark,party,semi-casual,evening,Indian,Embellished Anarkali with juttis,https://i.pinimg.com/736x/4e/4e/63/4e4e63598bab3247a66cecc563516061.jpg
Female,165,55,fair,casual,casual,day,Japanese,Oversized sweater with pleated skirt (K-fashion),https://i.pinimg.com/736x/8a/36/39/8a3639fa6187c25f5e62624c5321f594.jpg
